Category,Duty (Chinese),Duty (English),Completed,Observations
2.1 工作岗位,甲方根据工作需要及乙方意愿，聘用乙方到甲方教学用房规划设计岗位工作,Party A hires Party B for the Teaching Facility Planning and Design Position based on work needs and Party B's willingness,no,Main position assignment
2.1 工作岗位,聘用职称（岗位等级）为无,Employed title (position level) is None,no,No specific academic/professional title assigned
4.1.1 试用期及前期设计,对接设计公司协助处理设计文件中专业术语的中英文对照,Coordinate with design companies to assist with Chinese-English terminology对照 in design documents,no,Between Messi University and Hainan University
4.1.1 试用期及前期设计,参与组织项目概念性设计、方案设计、初步设计、施工图设计、专家论证及图纸审查工作，确保工程设计质量,"Participate in organizing conceptual design, schematic design, preliminary design, construction drawing design, expert论证, and drawing review to ensure engineering design quality",no,
4.1.1 试用期及前期设计,协助中方设计成果与梅西大学提供的设计文件之间的校对——校对报告,Assist in proofreading between Chinese design deliverables and design documents provided by Messi University — proofreading report,no,
4.1.1 试用期及前期设计,根据国家技术规范和校园规划组织审核工程设计图纸，参与检查设计内容的完整性和合理性,"Organize review of engineering design drawings according to national technical standards and campus planning, participate in checking completeness and rationality of design content",no,
4.1.1 试用期及前期设计,协助中方设计团队赴新西兰与梅西大学基建团队进行沟通交流——交流报告,Assist Chinese design team in traveling to New Zealand to communicate with Messi University's infrastructure team — communication report,no,Trip to New Zealand required
4.1.1 试用期及前期设计,协助中方设计团队调整设计以符合梅西大学提供的认证需求——施工图设计,Assist Chinese design team in adjusting designs to meet Messi University's certification requirements — construction drawing design,no,
4.1.2 施工期,工程施工过程中对接监理，监督施工方严格按照设计内容要求进行施工——月度报告,"Coordinate with supervisors during construction, monitor contractors to strictly follow design requirements — monthly reports",no,Monthly reports required
4.1.2 施工期,协助审核施工过程中的设计变更与技术签证，并报项目负责人,"Assist in reviewing design changes and technical visas during construction, and report to project负责人",no,
4.1.2 施工期,协助对接采购与招标中心，配合设计、勘察等服务类项目的采购与招标工作，并协助合同审核工作,"Assist in coordinating with procurement and bidding center, cooperate in procurement and bidding for design, survey, and other service projects, and assist in contract review",no,
4.1.2 施工期,工程施工过程中负责实时与外方沟通和信息及时传递,Responsible for real-time communication with foreign parties and timely information transmission during construction,no,
4.1.2 施工期,当中国规范或标准与国际认证所需达到的技术或建造标准有出入时，负责评估两者的匹配度，并给出实施方案建议,"When there are discrepancies between Chinese standards and international certification standards, responsible for evaluating compatibility and providing implementation recommendations",no,
4.1.2 施工期,协助解决施工过程中存在的技术问题，参与工程专项验收工作,"Assist in resolving technical issues during construction, participate in project专项验收 work",no,
4.1.3 验收后,全面负责梅西国际学院基本建设管理工作,Fully responsible for the basic construction management of Messi International Academy,no,Post-construction phase
4.1.3 验收后,负责梅西国际学院基本建设及范围内规章制度的起草、修订,Responsible for drafting and revising rules and regulations for Messi International Academy basic construction and scope,no,
4.1.3 验收后,负责梅西国际学院基建工作的年度统计、总结工作,Responsible for annual statistics and summary of Messi International Academy infrastructure work,no,Annual reporting
4.1.4 科研任务,科研应用研究限定在梅西国际学院的基建专项工作范围内，围绕梅西国际学院动物医院以及实验动物用房实施开展,"Scientific research limited to infrastructure专项 work scope of Messi International Academy, focusing on animal hospital and experimental animal housing",no,
4.1.4 科研任务,其他甲乙双方共同认可的科研或教研任务,Other scientific research or teaching research tasks mutually recognized by both parties,no,Flexible/additional tasks
4.2 其他安排,服从学院合理的其他工作安排（如社会服务等）,"Comply with other reasonable work arrangements by the academy (such as social services, etc.)",no,General obligation
4.3 因公出国,本协议履行期间，应当接受甲方因公出国任务,"During this agreement, shall accept overseas business trips assigned by Party A",no,Travel required
